player_id;dorsal;Player;position;Squad;MP;Starts;Min;Gls;Ast;CrdY;CrdR
6056;12;Héctor Santos;GK;Uruguay;0;0;0;0;;0;0
6057;22;Gustavo Fernández;GK;Uruguay;0;0;0;0;;0;0
6058;2;Baudilio Jáuregui;DF;Uruguay;3;3;270;0;;1;0
6059;3;Juan Carlos Masnik ;DF;Uruguay;3;1;153;0;;1;0
6060;4;Pablo Forlán;DF;Uruguay;3;3;270;0;;1;0
6061;5;Julio Montero Castillo;DF;Uruguay;1;1;68;0;;0;1
6062;6;Ricardo Pavoni;DF;Uruguay;3;3;270;1;;0;0
6063;13;Gustavo de Simone;DF;Uruguay;0;0;0;0;;0;0
6064;14;Luis Garisto;DF;Uruguay;2;2;117;0;;0;0
6065;15;Mario González;DF;Uruguay;0;0;0;0;;0;0
6066;7;Luis Cubilla;MF;Uruguay;2;1;111;0;;0;0
6067;8;Víctor Espárrago;MF;Uruguay;3;3;270;0;;1;0
6068;10;Pedro Rocha;MF;Uruguay;3;3;270;0;;0;0
6069;16;Alberto Cardaccio;MF;Uruguay;1;0;29;0;;0;0
6070;17;Julio César Jiménez;MF;Uruguay;0;0;0;0;;0;0
6071;18;Walter Mantegazza;MF;Uruguay;3;3;241;0;;1;0
6072;9;Fernando Morena;FW;Uruguay;3;3;270;0;;0;0
6073;11;Rubén Corbo;FW;Uruguay;2;2;132;0;;0;0
6074;19;Denis Milar;FW;Uruguay;3;2;207;0;;0;0
6075;20;Juan Silva;FW;Uruguay;0;0;0;0;;0;0
6076;21;José Gómez;FW;Uruguay;0;0;0;0;;0;0
5819;1;Sepp Maier;GK;West Germany;7;7;630;0;;0;0
6077;21;Norbert Nigbur;GK;West Germany;0;0;0;0;;0;0
6078;22;Wolfgang Kleff;GK;West Germany;0;0;0;0;;0;0
6079;2;Berti Vogts;DF;West Germany;7;7;630;0;;2;0
5534;3;Paul Breitner;DF;West Germany;7;7;630;3;;0;0
5824;4;Hans-Georg Schwarzenbeck;DF;West Germany;7;7;607;0;;0;0
6080;5;Franz Beckenbauer ;DF;West Germany;7;7;630;0;;0;0
6081;6;Horst-Dieter Höttges;DF;West Germany;1;0;23;0;;0;0
6082;19;Jupp Kapellmann;DF;West Germany;0;0;0;0;;0;0
6083;20;Helmut Kremers;DF;West Germany;0;0;0;0;;0;0
6084;7;Herbert Wimmer;MF;West Germany;2;1;96;0;;0;0
5830;8;Bernhard Cullmann;MF;West Germany;3;3;246;1;;0;0
6085;10;Günter Netzer;MF;West Germany;1;0;22;0;;0;0
6086;12;Wolfgang Overath;MF;West Germany;7;7;592;2;;1;0
5828;15;Heinz Flohe;MF;West Germany;3;1;111;0;;0;0
5827;16;Rainer Bonhof;MF;West Germany;4;4;360;1;;0;0
5836;17;Bernd Hölzenbein;MF;West Germany;6;4;400;0;;0;0
6087;9;Jürgen Grabowski;FW;West Germany;6;5;477;1;;0;0
6088;11;Jupp Heynckes;FW;West Germany;2;2;135;0;;0;0
6089;13;Gerd Müller;FW;West Germany;7;7;630;4;;0;0
6090;14;Uli Hoeneß;FW;West Germany;7;6;558;1;;0;0
6091;18;Dieter Herzog;FW;West Germany;2;2;153;0;;0;0
6092;1;Enver Mari?;GK;Yugoslavia;6;6;540;0;;0;0
6093;21;Ognjen Petrovi?;GK;Yugoslavia;0;0;0;0;;0;0
6094;22;Rizah Meškovi?;GK;Yugoslavia;0;0;0;0;;0;0
6095;2;Ivan Buljan;DF;Yugoslavia;6;6;540;0;;1;0
6096;3;Enver Hadžiabdi?;DF;Yugoslavia;6;6;540;0;;2;0
6097;5;Josip Katalinski;DF;Yugoslavia;6;6;540;1;;2;0
6098;14;Luka Peruzovi?;DF;Yugoslavia;1;0;13;0;;0;0
6099;15;Kiril Doj?inovski;DF;Yugoslavia;0;0;0;0;;0;0
6100;4;Dražen Mužini?;MF;Yugoslavia;2;2;180;0;;0;0
6101;6;Vladislav Bogi?evi?;MF;Yugoslavia;5;5;450;1;;0;0
6102;8;Branko Oblak;MF;Yugoslavia;5;5;368;1;;2;0
6103;10;Jovan A?imovi?;MF;Yugoslavia;6;6;540;0;;1;0
6104;12;Jurica Jerkovi?;MF;Yugoslavia;3;1;172;0;;0;0
6105;13;Miroslav Pavlovi?;MF;Yugoslavia;1;1;77;0;;0;0
6106;16;Franjo Vladi?;MF;Yugoslavia;0;0;0;0;;0;0
6107;20;Vladimir Petrovi?;MF;Yugoslavia;2;1;79;0;;0;0
6108;7;Ilija Petkovi?;FW;Yugoslavia;5;4;357;1;;0;0
6109;9;Ivica Šurjak;FW;Yugoslavia;6;6;540;2;;0;0
6110;11;Dragan Džaji? ;FW;Yugoslavia;5;5;443;1;;0;0
6111;17;Danilo Popivoda;FW;Yugoslavia;1;1;90;0;;0;0
6112;18;Stanislav Karasi;FW;Yugoslavia;4;2;222;2;;1;0
6113;19;Dušan Bajevi?;FW;Yugoslavia;3;3;249;3;;1;0
6114;1;Kazadi Mwamba;GK;Zaire;3;3;200;0;;0;0
6115;12;Tubilandu Ndimbi;GK;Zaire;1;0;70;0;;0;0
6116;22;Kalambay Otepa;GK;Zaire;0;0;0;0;;0;0
6117;2;Mwepu Ilunga;DF;Zaire;3;3;270;0;;1;0
6118;3;Mwanza Mukombo;DF;Zaire;3;3;270;0;;0;0
6119;4;Bwanga Tshimen;DF;Zaire;3;3;270;0;;0;0
6120;5;Lobilo Boba;DF;Zaire;3;3;270;0;;0;0
6121;11;Kabasu Babo;DF;Zaire;0;0;0;0;;0;0
6122;16;Mwape Mialo;DF;Zaire;0;0;0;0;;0;0
6123;6;Kilasu Massamba;MF;Zaire;3;2;210;0;;0;0
