player_id,world_cup_year,team,club,country_club
355,2022,Ghana,Ajax,Netherlands
356,2022,Ghana,SC Freiburg,Germany
357,2022,Ghana,Hearts of Oak,Ghana
358,2022,Ghana,Club Brugge,Belgium
359,2022,Ghana,Sporting CP,Portugal
360,2022,Ghana,Red Star Belgrade,Serbia
361,2022,Ghana,Athletic Club,Spain
362,2022,Ghana,Bristol City,England
363,2014,Ghana,Sochaux,France
363,2022,Ghana,Crystal Palace,England
364,2022,Ghana,Rennes,France
365,2018,Iran,Persepolis,Iran
365,2022,Iran,Persepolis,Iran
366,2022,Iran,Ponferradina,Spain
367,2022,Iran,Esteghlal,Iran
368,2022,Iran,Sepahan,Iran
369,2014,Iran,Sepahan,Iran
369,2018,Iran,Olympiakos,Greece
369,2022,Iran,AEK Athens,Greece
370,2022,Iran,Al-Ahli,Qatar
371,2018,Iran,Al Saad,Qatar
371,2022,Iran,Persepolis,Iran
372,2018,Iran,Oostende,Belgium
372,2022,Iran,Sepahan,Iran
373,2018,Iran,Akhmat Grozny,Russia
373,2022,Iran,AEK Athens,Greece
374,2022,Iran,Al-Ahli,Qatar
375,2022,Iran,Dinamo Zagreb,Croatia
376,2018,Iran,Esteghlal,Iran
376,2022,Iran,Kayserispor,Turkey
377,2022,Iran,Esteghlal,Iran
378,2018,Iran,Persepolis,Iran
378,2022,Iran,Persepolis,Iran
379,2014,Iran,NEC,Netherlands
379,2018,Iran,AZ,Netherlands
379,2022,Iran,Feyenoord,Netherlands
380,2018,Iran,Amkar Perm,Russia
380,2022,Iran,Vejle,Denmark
381,2018,Iran,Saipa,Iran
381,2022,Iran,Persepolis,Iran
382,2018,Iran,Esteghlal,Iran
382,2022,Iran,Esteghlal,Iran
383,2018,Iran,Ostersund,Sweden
383,2022,Iran,Brentford,England
384,2022,Iran,Charleroi,Belgium
385,2022,Iran,Shabab Al-Ahli,United Arab Emirates
386,2022,Iran,Kayserispor,Turkey
387,2014,Iran,Tractor Sazi,Iran
387,2018,Iran,Olympiakos,Greece
387,2022,Iran,Omonia,Cyprus
388,2022,Iran,Rubin Kazan,Russia
388,2022,Iran,Bayer Leverkusen,Germany
389,2018,Iran,Al-Gharafa,Qatar
389,2022,Iran,Porto,Portugal
390,2014,Japan,Standard Liege,Belgium
390,2018,Japan,Metz,France
390,2022,Japan,Strasbourg,France
391,2014,Japan,FC Tokyo,Japan
391,2022,Japan,Shimizu S-Pulse,Japan
392,2022,Japan,Sint-Truiden,Belgium
393,2022,Japan,Kawasaki Frontale,Japan
394,2022,Japan,Kawasaki Frontale,Japan
395,2022,Japan,Borussia Monchengladbach,Germany
396,2014,Japan,Internazionale,Italy
396,2018,Japan,Galatasaray,Turkey
396,2022,Japan,Tokyo,Japan
397,2022,Japan,Arsenal,England
398,2014,Japan,Hannover 96,Germany
398,2018,Japan,Marseille,France
398,2022,Japan,Urawa Red Diamonds,Japan
399,2014,Japan,Southampton,England
399,2018,Japan,Southampton,England
399,2022,Japan,Schalke 04,Germany
400,2022,Japan,Stuttgart,Germany
401,2022,Japan,Stuttgart,Germany
402,2018,Japan,Getafe,Spain
402,2022,Japan,Leganes,Spain
403,2022,Japan,Freiburg,Germany
404,2022,Japan,Brighton,England
405,2022,Japan,Monaco,France
406,2022,Japan,Real Sociedad,Spain
407,2022,Japan,Sporting CP,Portugal
408,2022,Japan,Reims,France
409,2022,Japan,Eintracht Frankfurt,Germany
410,2022,Japan,Fortuna Dusseldorf,Germany
411,2022,Japan,Nagoya Grampus,Japan
412,2022,Japan,Bochum,Germany
413,2022,Japan,Shonan Bellmare,Japan
414,2022,Japan,Cercle Brugge,Belgium
415,2022,Japan,Celtic,Scotland
416,2014,Mexico,Ajaccio,France
416,2018,Mexico,Standard Liege,Belgium
416,2022,Mexico,America,Mexico
417,2014,Mexico,Toluca,Mexico
417,2018,Mexico,Toluca,Mexico
417,2022,Mexico,Juarez,Mexico
418,2022,Mexico,Leon,Mexico
419,2014,Mexico,Espanyol,Spain
419,2018,Mexico,Real Sociedad,Spain
419,2022,Mexico,Monterrey,Mexico
420,2018,Mexico,UNAM,Mexico
420,2022,Mexico,Monterrey,Mexico
421,2022,Mexico,America,Mexico
422,2022,Mexico,Monterrey,Mexico
423,2022,Mexico,Ajax,Netherlands
424,2022,Mexico,Genk,Belgium
425,2022,Mexico,Pachuca,Mexico
426,2022,Mexico,Cremonese,Italy
427,2014,Mexico,Bayer Leverkusen,Germany
427,2018,Mexico,Real Betis,Spain
427,2022,Mexico,Real Betis,Spain
428,2014,Mexico,Porto,Portugal
428,2018,Mexico,Porto,Portugal
428,2022,Mexico,Houston Dynamo,USA
429,2018,Mexico,America,Mexico
429,2022,Mexico,Ajax,Netherlands
430,2022,Mexico,AEK Athens,Greece
431,2022,Mexico,Cruz Azul,Mexico
432,2018,Mexico,Pachuca,Mexico
432,2022,Mexico,PSV,Netherlands
433,2022,Mexico,Cruz Azul,Mexico
434,2022,Mexico,Guadalajara,Mexico
435,2022,Mexico,Monterrey,Mexico
436,2022,Mexico,Guadalajara,Mexico
437,2022,Mexico,Pachuca,Mexico
438,2014,Mexico,America,Mexico
438,2018,Mexico,Benfica,Portugal
438,2022,Mexico,Wolverhampton,England
439,2018,Mexico,PSV,Netherlands
439,2022,Mexico,Napoli,Italy
440,2022,Mexico,America,Mexico
441,2022,Mexico,Monterrey,Mexico
442,2018,Morocco,Girona,Spain
442,2022,Morocco,Sevilla,Spain
443,2018,Morocco,Numancia,Spain
443,2022,Morocco,Al Wehda,Saudi Arabia
444,2018,Morocco,IR Tanger,Morocco
444,2022,Morocco,Wydad AC,Morocco
445,2018,Morocco,Real Madrid,Spain
445,2022,Morocco,PSG,France
446,2022,Morocco,Bayern Munich,Germany
447,2022,Morocco,West Ham,England
448,2022,Morocco,Besiktas,Turkey
449,2022,Morocco,Brest,France
450,2022,Morocco,Wydad AC,Morocco
451,2022,Morocco,Qatar SC,Qatar
452,2022,Morocco,Valladolid,Spain
453,2018,Morocco,Feyenoord,Netherlands
453,2022,Morocco,Fiorentina,Italy
454,2022,Morocco,Sampdoria,Italy
455,2022,Morocco,Standard Liege,Belgium
456,2022,Morocco,Angers,France
457,2022,Morocco,Genk,Belgium
458,2022,Morocco,Wydad AC,Morocco
459,2018,Morocco,Ajax,Netherlands
459,2022,Morocco,Chelsea,England
460,2022,Morocco,Angers,France
461,2022,Morocco,Toulouse,France
462,2022,Morocco,Burnley,England
463,2022,Morocco,Osasuna,Spain
464,2022,Morocco,QPR,England
465,2018,Morocco,Malaga,Spain
465,2022,Morocco,Sevilla,Spain
466,2022,Morocco,Bari,Italy
467,2022,Morocco,Al-Ittihad,Saudi Arabia
468,2022,Netherlands,Feyenoord,Netherlands
469,2022,Netherlands,Ajax,Netherlands
470,2022,Netherlands,Heerenveen,Netherlands
471,2014,Netherlands,Ajax,Netherlands
471,2022,Netherlands,Ajax,Netherlands
472,2014,Netherlands,Feyenoord,Netherlands
472,2022,Netherlands,Internazionale,Italy
473,2022,Netherlands,Liverpool,England
474,2022,Netherlands,Bayern Munich,Germany
475,2022,Netherlands,Internazionale,Italy
476,2022,Netherlands,Manchester City,England
